LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,EDUTRY,25_34_MEN,PC_AGE,A,2015,42.491768,
AUS,EDUTRY,25_34_MEN,PC_AGE,A,2016,43.936462,
AUS,EDUTRY,25_34_MEN,PC_AGE,A,2017,44.612118,
AUS,EDUTRY,25_34_MEN,PC_AGE,A,2018,44.018284,
AUS,EDUTRY,25_34_WOMEN,PC_AGE,A,2015,54.411419,
AUS,EDUTRY,25_34_WOMEN,PC_AGE,A,2016,54.610218,
AUS,EDUTRY,25_34_WOMEN,PC_AGE,A,2017,59.257164,
AUS,EDUTRY,25_34_WOMEN,PC_AGE,A,2018,58.589924,
AUS,EDUTRY,55_64_MEN,PC_AGE,A,2015,32.19788,
AUS,EDUTRY,55_64_MEN,PC_AGE,A,2016,32.843246,
AUS,EDUTRY,55_64_MEN,PC_AGE,A,2017,32.669834,
AUS,EDUTRY,55_64_MEN,PC_AGE,A,2018,32.568539,
AUS,EDUTRY,55_64_WOMEN,PC_AGE,A,2015,35.614998,
AUS,EDUTRY,55_64_WOMEN,PC_AGE,A,2016,37.029701,
AUS,EDUTRY,55_64_WOMEN,PC_AGE,A,2017,34.96629,
AUS,EDUTRY,55_64_WOMEN,PC_AGE,A,2018,36.964325,
AUT,EDUTRY,25_34_MEN,PC_AGE,A,2015,35.828575,
AUT,EDUTRY,25_34_MEN,PC_AGE,A,2016,36.188965,
AUT,EDUTRY,25_34_MEN,PC_AGE,A,2017,36.395073,
AUT,EDUTRY,25_34_MEN,PC_AGE,A,2018,36.121803,
AUT,EDUTRY,25_34_WOMEN,PC_AGE,A,2015,41.465881,
AUT,EDUTRY,25_34_WOMEN,PC_AGE,A,2016,43.239613,
AUT,EDUTRY,25_34_WOMEN,PC_AGE,A,2017,44.354355,
AUT,EDUTRY,25_34_WOMEN,PC_AGE,A,2018,44.901649,
AUT,EDUTRY,55_64_MEN,PC_AGE,A,2015,26.720638,
AUT,EDUTRY,55_64_MEN,PC_AGE,A,2016,26.715446,
AUT,EDUTRY,55_64_MEN,PC_AGE,A,2017,27.580761,
AUT,EDUTRY,55_64_MEN,PC_AGE,A,2018,29.438622,
AUT,EDUTRY,55_64_WOMEN,PC_AGE,A,2015,17.095684,
AUT,EDUTRY,55_64_WOMEN,PC_AGE,A,2016,19.185913,
AUT,EDUTRY,55_64_WOMEN,PC_AGE,A,2017,19.455999,
AUT,EDUTRY,55_64_WOMEN,PC_AGE,A,2018,18.386946,
BEL,EDUTRY,25_34_MEN,PC_AGE,A,2015,37.08807,
BEL,EDUTRY,25_34_MEN,PC_AGE,A,2016,37.78709,
BEL,EDUTRY,25_34_MEN,PC_AGE,A,2017,39.970146,
BEL,EDUTRY,25_34_MEN,PC_AGE,A,2018,40.554073,
BEL,EDUTRY,25_34_WOMEN,PC_AGE,A,2015,49.184116,
BEL,EDUTRY,25_34_WOMEN,PC_AGE,A,2016,50.81036,
BEL,EDUTRY,25_34_WOMEN,PC_AGE,A,2017,51.438137,
BEL,EDUTRY,25_34_WOMEN,PC_AGE,A,2018,54.211609,
BEL,EDUTRY,55_64_MEN,PC_AGE,A,2015,27.612232,
BEL,EDUTRY,55_64_MEN,PC_AGE,A,2016,28.204832,
BEL,EDUTRY,55_64_MEN,PC_AGE,A,2017,30.379406,
BEL,EDUTRY,55_64_MEN,PC_AGE,A,2018,30.433994,
BEL,EDUTRY,55_64_WOMEN,PC_AGE,A,2015,26.198746,
BEL,EDUTRY,55_64_WOMEN,PC_AGE,A,2016,26.787697,
BEL,EDUTRY,55_64_WOMEN,PC_AGE,A,2017,30.597071,
BEL,EDUTRY,55_64_WOMEN,PC_AGE,A,2018,30.991295,
CAN,EDUTRY,25_34_MEN,PC_AGE,A,2015,50.290215,
CAN,EDUTRY,25_34_MEN,PC_AGE,A,2016,51.453133,
CAN,EDUTRY,25_34_MEN,PC_AGE,A,2017,52.200241,
CAN,EDUTRY,25_34_MEN,PC_AGE,A,2018,53.008709,
CAN,EDUTRY,25_34_WOMEN,PC_AGE,A,2015,67.995071,
CAN,EDUTRY,25_34_WOMEN,PC_AGE,A,2016,69.626923,
CAN,EDUTRY,25_34_WOMEN,PC_AGE,A,2017,69.563477,
CAN,EDUTRY,25_34_WOMEN,PC_AGE,A,2018,70.465302,
CAN,EDUTRY,55_64_MEN,PC_AGE,A,2015,42.372883,
CAN,EDUTRY,55_64_MEN,PC_AGE,A,2016,42.786068,
CAN,EDUTRY,55_64_MEN,PC_AGE,A,2017,42.938313,
CAN,EDUTRY,55_64_MEN,PC_AGE,A,2018,43.7276,
CAN,EDUTRY,55_64_WOMEN,PC_AGE,A,2015,48.894451,
CAN,EDUTRY,55_64_WOMEN,PC_AGE,A,2016,49.572651,
CAN,EDUTRY,55_64_WOMEN,PC_AGE,A,2017,50.019913,
CAN,EDUTRY,55_64_WOMEN,PC_AGE,A,2018,51.643192,
CZE,EDUTRY,25_34_MEN,PC_AGE,A,2015,24.254749,
CZE,EDUTRY,25_34_MEN,PC_AGE,A,2016,26.493073,
CZE,EDUTRY,25_34_MEN,PC_AGE,A,2017,27.490999,
CZE,EDUTRY,25_34_MEN,PC_AGE,A,2018,26.315504,
CZE,EDUTRY,25_34_WOMEN,PC_AGE,A,2015,38.136539,
CZE,EDUTRY,25_34_WOMEN,PC_AGE,A,2016,38.958477,
CZE,EDUTRY,25_34_WOMEN,PC_AGE,A,2017,40.491436,
CZE,EDUTRY,25_34_WOMEN,PC_AGE,A,2018,40.73127,
CZE,EDUTRY,55_64_MEN,PC_AGE,A,2015,16.758556,
CZE,EDUTRY,55_64_MEN,PC_AGE,A,2016,17.709576,
CZE,EDUTRY,55_64_MEN,PC_AGE,A,2017,18.516216,
CZE,EDUTRY,55_64_MEN,PC_AGE,A,2018,19.221348,
CZE,EDUTRY,55_64_WOMEN,PC_AGE,A,2015,12.289754,
CZE,EDUTRY,55_64_WOMEN,PC_AGE,A,2016,13.488165,
CZE,EDUTRY,55_64_WOMEN,PC_AGE,A,2017,14.671727,
CZE,EDUTRY,55_64_WOMEN,PC_AGE,A,2018,15.366365,
DNK,EDUTRY,25_34_MEN,PC_AGE,A,2015,35.811409,
DNK,EDUTRY,25_34_MEN,PC_AGE,A,2016,38.904057,
DNK,EDUTRY,25_34_MEN,PC_AGE,A,2017,38.130211,
DNK,EDUTRY,25_34_MEN,PC_AGE,A,2018,39.432537,
DNK,EDUTRY,25_34_WOMEN,PC_AGE,A,2015,53.607571,
DNK,EDUTRY,25_34_WOMEN,PC_AGE,A,2016,53.184067,
DNK,EDUTRY,25_34_WOMEN,PC_AGE,A,2017,55.255375,
DNK,EDUTRY,25_34_WOMEN,PC_AGE,A,2018,56.011478,
DNK,EDUTRY,55_64_MEN,PC_AGE,A,2015,24.383425,
DNK,EDUTRY,55_64_MEN,PC_AGE,A,2016,26.021481,
DNK,EDUTRY,55_64_MEN,PC_AGE,A,2017,26.672262,
DNK,EDUTRY,55_64_MEN,PC_AGE,A,2018,25.703304,
DNK,EDUTRY,55_64_WOMEN,PC_AGE,A,2015,32.650047,
DNK,EDUTRY,55_64_WOMEN,PC_AGE,A,2016,33.670322,
DNK,EDUTRY,55_64_WOMEN,PC_AGE,A,2017,34.460278,
DNK,EDUTRY,55_64_WOMEN,PC_AGE,A,2018,34.789459,
FIN,EDUTRY,25_34_MEN,PC_AGE,A,2015,32.554558,
FIN,EDUTRY,25_34_MEN,PC_AGE,A,2016,33.239437,
FIN,EDUTRY,25_34_MEN,PC_AGE,A,2017,33.238636,
FIN,EDUTRY,25_34_MEN,PC_AGE,A,2018,33.522728,
